authors,title,pub_date,source,doi,abstract,rank
"JIN, H.,ZHOU, X.",A FUNDAMENTAL THEOREM OF ASSET PRICING IN CONTINUOUS TIME WITH SQUARE INTEGRABLE PORTFOLIOS,2007-01-01 00:00:00,SupportedSources.CROSSREF,10.1142/9789812790552_0008,,44
"Huang, C.,Taksar, M.,Zhu, S.",A Verification Theorem in General Equilibrium Model of Asset Prices,1999-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-1-4612-1784-8_35,,45
"Zong, X.",Three Essays on Asset Pricing Studies,2022-01-01 00:00:00,SupportedSources.CROSSREF,10.2139/ssrn.4283808,,46
"Poon, S.,Stapleton, R.",Asset Pricing in Discrete Time,2005-01-13 00:00:00,SupportedSources.CROSSREF,10.1093/0199271445.001.0001,,47
"Grüne, L.,Semmler, W.",Asset pricing with loss aversion,2008-01-01 00:00:00,SupportedSources.CROSSREF,10.1016/j.jedc.2008.01.002,,48
"Düring, B.",Asset Pricing under Information with Stochastic Volatility,2008-01-01 00:00:00,SupportedSources.CROSSREF,10.2139/ssrn.1212323,,49
"Cai, Y.",Three essays on empirical asset pricing,None,SupportedSources.CROSSREF,10.32657/10356/50618,,50
"Burnside, C.",Solving asset pricing models with Gaussian shocks,1998-01-01 00:00:00,SupportedSources.CROSSREF,10.1016/s0165-1889(97)00075-4,,51
"Dillschneider, Y.",Standard Transform Analysis for Asset Pricing and Parameter Estimation,2022-01-01 00:00:00,SupportedSources.CROSSREF,10.2139/ssrn.4097097,,52
"Khorram, M.",Essays in Empirical Asset Pricing,None,SupportedSources.CROSSREF,10.31390/gradschool_dissertations.5773,,53
"Luo, D.",Two essays on asset pricing,None,SupportedSources.CROSSREF,10.5353/th_b4819935,,54
"Jeng, J.",Empirical Asset Pricing Models,2018-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-3-319-74192-5,,55
"Bossaerts, P.",Chapter 42 Asset Pricing,2008-01-01 00:00:00,SupportedSources.CROSSREF,10.1016/s1574-0722(07)00042-x,,56
"Gocek, G.",Asset Pricing: A Tale of Two           Days,2014-01-01 00:00:00,SupportedSources.CROSSREF,10.2469/dig.v44.n7.10,,57
"Harvey, C.",Asset Pricing: Emerging Markets,2001-01-01 00:00:00,SupportedSources.CROSSREF,10.1016/b0-08-043076-7/02268-3,,58
"Delbaen, F.,Schachermayer, W.",A General Version of the Fundamental Theorem of Asset Pricing (1994),None,SupportedSources.CROSSREF,10.1007/978-3-540-31299-4_9,,59
"Zhou, C.",Dynamic portfolio choice and asset pricing with differential information,1998-01-01 00:00:00,SupportedSources.CROSSREF,10.1016/s0165-1889(97)00099-7,,60
"Coenraad C. A. Labuschagnea,Theresa M. Offwooda",Fundamental Theorems of Asset Pricing,None,SupportedSources.SEMANTIC_SCHOLAR,10.1142/9789811209574_0003,"Mathematics of Finance, which in general involves finding appropriate pricing models for all types of financial instruments, has its foundations in two theorems, called the fundamental theorems of asset pricing. The first fundamental theorem of asset pricing relates the concept of No Arbitrage to the existence of a risk-neutral pricing measure and the second links market completeness with the uniquness of a pricing measure. This paper gives a brief overview of both fundamental theorems of asset pricing.",61
"Singleton, K.",Empirical Dynamic Asset Pricing,2009-12-13 00:00:00,SupportedSources.CROSSREF,10.2307/j.ctv30pnvwk,,62
Jingrui Li,Empirical Asset Pricing with Equity Tail Risk,None,SupportedSources.SEMANTIC_SCHOLAR,10.33915/etd.4123,Empirical Asset Pricing with Equity Tail Risk,63
"Jarrow, R.,Protter, P.",Chapter 1 An Introduction to Financial Asset Pricing,2007-01-01 00:00:00,SupportedSources.CROSSREF,10.1016/s0927-0507(07)15001-5,,64
P. Söderlind,An extended Stein's lemma for asset pricing,2008-08-08 00:00:00,SupportedSources.SEMANTIC_SCHOLAR,10.1080/17446540802345422,Stein's lemma is extended to the case where asset returns have skewed and leptokurtic distributions. The risk premium is still the negative of the covariance of the excess return with the log stochastic discount factor. The risk-neutral distribution has a simple form but is a nontrivial transformation of the physical distribution.,65
"Guermat, C.,Freeman, M.",A net beta test of asset pricing models,2010-01-01 00:00:00,SupportedSources.CROSSREF,10.1016/j.irfa.2009.09.008,,66
"Vorfeld, M.",Grundlagen des Asset Pricing,2009-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-3-8349-8243-8_2,,67
"Tsionas, E.",Exact solution of asset pricing models with arbitrary shock distributions,2003-01-01 00:00:00,SupportedSources.CROSSREF,10.1016/s0165-1889(02)00017-9,,68
"Lécuyer, E.,Martins-da-Rocha, V.",Convex Asset Pricing,2021-01-01 00:00:00,SupportedSources.CROSSREF,10.2139/ssrn.3940432,,69
"Nadler, P.,Sancetta, A.",Empirical Asset Pricing with Functional Factors,2022-04-06 00:00:00,SupportedSources.CROSSREF,10.1093/jjfinec/nbac003,,70
"Nielsen, M.",Asset pricing with complexity,2022-01-01 00:00:00,SupportedSources.CROSSREF,10.2139/ssrn.4063721,,71
"Hardouvelis, G.,Kim, D.,Wizman, T.",Asset pricing models with and without consumption data: An empirical evaluation,1996-01-01 00:00:00,SupportedSources.CROSSREF,10.1016/0927-5398(96)00003-5,,72
,A Model of Asset Pricing and Portfolio Allocation,2015-10-21 00:00:00,SupportedSources.CROSSREF,10.1142/9781783267002_0009,,73
"Stapleton, R.,Subrahmanyam, M.",A Multiperiod Equilibrium Asset Pricing Model,1978-01-01 00:00:00,SupportedSources.CROSSREF,10.2307/1911437,,74
"Noussair, C.,Tucker, S.",Experimental Research on Asset Pricing,2013-11-15 00:00:00,SupportedSources.CROSSREF,10.1002/9781118790700.ch9,,75
"Kallianpur, G.,Karandikar, R.",Asset Pricing with Stochastic Volatility,2000-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-1-4612-0511-1_13,,76
"Choi, S.,Gorener, R.,Norsworthy, J.",Conditional Asset Pricing Model,2006-01-01 00:00:00,SupportedSources.CROSSREF,10.1016/b978-044452722-6/50007-2,,77
"Brenner, M.,Izhakian, Y.",Asset pricing and ambiguity: Empirical evidence,2018-01-01 00:00:00,SupportedSources.CROSSREF,10.1016/j.jfineco.2018.07.007,,78
"Luenberger, D.",Pricing a Nontradeable Asset and Its Derivatives,2004-01-01 00:00:00,SupportedSources.CROSSREF,10.1023/b:jota.0000037600.85025.db,,79
"Nakamura, N.",Numerical Approach to Asset Pricing Models with Stochastic Differential Utility,2004-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/s10690-005-9003-4,,80
"Shefrin, H.",A Simple Asset Pricing Model Featuring Representativeness,2008-01-01 00:00:00,SupportedSources.CROSSREF,10.1016/b978-012374356-5.50007-3,,81
"Gamrowski, B.,Rachev, S.",Stable Models in Testable Asset Pricing,1994-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-1-4615-2494-6_17,,82
"Borovička, J.,Stachurski, J.",Stability of equilibrium asset pricing models: A necessary and sufficient condition,2021-01-01 00:00:00,SupportedSources.CROSSREF,10.1016/j.jet.2021.105227,,83
"Kumar, A.",Stochastic correlation for asset pricing and credit derivative products,None,SupportedSources.CROSSREF,10.15476/elte.2020.179,,84
"Johnson, T.",The Fundamental Theorem of Asset Pricing,2017-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-3-319-61039-9_11,,85
"Elliott, R.,Kopp, P.",The Fundamental Theorem of Asset Pricing,1999-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-1-4757-7146-6_3,,86
,Portfolio Theory and Asset Pricing,2015-09-26 00:00:00,SupportedSources.CROSSREF,10.1002/9781119199328.ch7,,87
"Brody, D.",Information and asset pricing,2010-01-01 00:00:00,SupportedSources.CROSSREF,10.1142/9789814313179_0049,,88
"Gospodinov, N.,Robotti, C.",Common pricing across asset classes: Empirical evidence revisited,2021-01-01 00:00:00,SupportedSources.CROSSREF,10.1016/j.jfineco.2020.12.001,,89
,An asset pricing model with heterogeneous beliefs,2013-01-24 00:00:00,SupportedSources.CROSSREF,10.1017/cbo9781139094276.007,,90
"Bidarkota, P.,Dupoyet, B.,McCulloch, J.",Asset pricing with incomplete information and fat tails,2009-01-01 00:00:00,SupportedSources.CROSSREF,10.1016/j.jedc.2009.01.002,,91
"Crotty, K.,Teguia, A.",Estimating asset pricing models with frictions,2017-01-01 00:00:00,SupportedSources.CROSSREF,10.1016/j.econlet.2017.02.016,,92
"Hommes, C.,Sonnemans, J.,Tuinstra, J.,van de Velden, H.",A strategy experiment in dynamic asset pricing,2005-01-01 00:00:00,SupportedSources.CROSSREF,10.1016/j.jedc.2003.11.006,,93
"He, J.,Ng, L.,Zhang, C.",Asset Pricing Specification Errors and Performance Evaluation,1999-08-01 00:00:00,SupportedSources.CROSSREF,10.1023/a:1009803503148,,94
"Liu, X.,Qiu, Z.,Xiong, Y.",VaR constrained asset pricing with relative performance,2013-01-01 00:00:00,SupportedSources.CROSSREF,10.1016/j.econlet.2013.07.026,,95
"Geiger, F.",Financial Markets and Asset Pricing,2011-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-3-642-21575-9_2,,96
"Dybvig, H.,Ross, S.",The Fundamental Theorems of Asset Pricing,2003-01-01 00:00:00,SupportedSources.CROSSREF,10.1007/978-3-0348-8041-1_11,,97
"Geman, H.",From measure changes to time changes in asset pricing,2005-01-01 00:00:00,SupportedSources.CROSSREF,10.1016/j.jbankfin.2005.02.008,,98
"Blume, L.,Easley, D.",Market Selection and Asset Pricing,2009-01-01 00:00:00,SupportedSources.CROSSREF,10.1016/b978-012374258-2.50011-7,,99
